NEWID,SIZE,SIZEAM,SIZEAF,SIZEJM,SIZEJF,SIZEIN,EXP,FDHO,FDAW,SHEL,TELE,DOM,TEXT,FURN,MAPP,SAPP,CLOT,FOOT,GASO,TRIP,LOCT,HEAL,ENT,FEES,TOYS,READ,EDUC,TOB,REFAGE,REFEDUC,REFRACE,HHTENURE,HHTYPE
646002,1,1,0,0,0,0,38067,2148,2615,10601,896,0,250,320,0,70,1821,275,735,806,135,643,3180,2669,0,415,0,0,41,6,1,4,8
646012,1,0,1,0,0,0,22040,1287,105,5400,321,0,15,0,0,30,359,84,1330,0,0,180,879,0,863,25,8397,0,35,6,1,4,8
646032,4,2,2,0,0,0,23794,2210,132,1500,0,0,0,0,0,0,90,90,1560,0,0,0,76,76,0,0,0,910,47,3,1,2,6
646042,5,1,2,1,1,0,106032,8255,1701,30672,1809,257,0,0,3400,70,2634,260,1955,12000,0,1880,1412,818,215,187,3000,0,56,5,4,1,4
646052,3,1,2,0,0,0,19303,6045,1200,7050,85,0,11,0,0,28,1092,115,0,0,630,0,646,124,65,91,90,325,44,2,1,4,9
646062,5,1,1,1,2,0,63934,6564,2611,16873,1159,1923,121,15,465,53,3820,371,2351,2827,15,3492,4006,1967,910,437,606,0,34,5,1,1,3
646072,1,0,1,0,0,0,16818,1670,605,4570,305,40,47,0,0,0,1440,201,600,0,0,2622,482,113,60,727,0,0,40,4,1,4,8
646082,5,0,3,0,2,0,11621,2779,0,6372,378,0,0,0,0,0,3,0,507,0,0,0,0,0,0,0,0,39,43,1,2,2,9
646092,5,1,1,1,1,1,40566,4556,2020,8894,930,210,25,0,0,70,638,60,2298,1315,0,877,640,418,7,26,1344,0,35,5,4,1,3
646102,4,1,1,0,1,1,14921,2886,345,3980,826,798,71,731,0,44,941,132,780,0,0,16,267,8,22,0,0,286,24,1,1,4,2
646132,2,1,1,0,0,0,15188,2556,471,735,772,57,0,284,0,0,628,44,1706,0,0,804,314,0,159,31,0,1183,50,3,1,1,9
646142,1,1,0,0,0,0,28087,457,4150,7559,597,34,0,0,0,0,1713,102,1390,301,0,2635,487,123,0,130,0,377,73,4,1,4,8
646152,1,0,1,0,0,0,21026,884,1620,1789,1630,208,495,106,0,63,1259,327,2580,375,0,1567,1121,554,0,61,0,325,30,5,1,2,8
646162,1,0,1,0,0,0,38907,5270,1940,9067,731,1130,75,2400,0,100,2298,352,259,184,0,2511,1952,616,280,267,0,0,59,3,1,1,8
646172,2,1,1,0,0,0,39727,2258,1739,8049,839,54,0,2886,54,13,1678,92,1526,0,0,923,1544,492,338,487,3897,0,28,4,1,1,1
646192,4,1,1,2,0,0,49794,4420,2410,14352,428,10045,0,100,0,0,1043,116,1575,0,243,2689,2005,475,561,642,20,1014,40,4,1,1,2
646202,2,1,1,0,0,0,49112,2994,1165,6255,563,170,31,600,0,20,835,259,1625,0,0,10305,2849,998,145,66,0,1079,46,3,1,1,1
646292,1,1,0,0,0,0,6886,1339,180,250,490,0,0,0,0,0,322,0,1126,0,54,1040,307,0,0,64,0,195,59,2,2,2,8
646302,3,1,1,1,0,0,31674,3406,1913,8138,1949,0,0,1700,285,20,256,50,1630,1121,0,1398,865,444,0,10,20,390,33,3,1,4,3
646312,2,1,1,0,0,0,25053,3185,2180,7100,420,0,730,420,0,201,1571,452,795,0,20,1765,1008,88,235,439,0,260,30,3,1,4,1
646332,1,1,0,0,0,0,23835,2464,2425,5372,492,72,0,0,774,0,1208,320,1498,72,0,353,1443,490,0,0,0,26,45,3,1,1,8
646352,4,0,1,1,2,0,12160,3055,210,2112,557,0,0,0,0,0,1164,463,840,0,0,143,886,10,400,0,0,780,31,4,1,4,7
646362,3,2,1,0,0,0,45640,3605,1643,3164,1135,36,70,80,0,20,1701,15,1440,960,0,6846,1813,1293,346,0,31,0,43,3,1,1,9
646412,1,0,1,0,0,0,7898,637,0,2760,5,0,0,0,0,0,148,0,184,0,0,2737,0,0,0,211,0,0,74,3,1,4,8
646432,3,2,1,0,0,0,107065,4892,5380,12649,1150,680,300,200,0,100,3763,169,2910,548,0,1772,8143,6723,0,334,6000,0,56,5,1,1,4
646442,5,3,2,0,0,0,58206,4402,930,7642,625,1,0,0,0,175,1735,185,3461,46,183,1248,2974,290,1591,571,450,442,48,5,1,1,5
646462,1,1,0,0,0,0,8270,1833,248,583,771,0,0,0,0,0,0,0,436,0,48,12,438,150,0,78,0,780,61,5,1,1,8
646472,5,1,1,2,1,0,69529,6617,3422,24938,690,593,145,342,0,50,3286,342,1102,707,0,2189,5426,1995,789,374,102,0,51,6,1,1,3
646522,2,0,2,0,0,0,25776,5085,369,6949,553,0,0,0,0,0,575,0,924,484,0,2824,726,172,248,30,427,0,48,3,1,1,9
646542,2,1,1,0,0,0,57742,1799,5349,9239,1386,0,210,0,166,194,474,60,3800,322,0,1455,26879,2314,4005,85,0,143,58,2,1,1,1
646552,5,1,3,1,0,0,18456,4940,315,0,815,0,0,600,0,0,4623,125,0,0,105,951,617,18,0,19,675,195,35,2,2,2,4
646592,2,1,1,0,0,0,53523,2120,1778,15542,1605,172,0,0,0,0,2942,0,860,0,1120,4090,2673,1658,0,758,0,0,51,6,1,1,1
646612,2,0,2,0,0,0,27514,3055,285,12633,595,100,0,0,0,0,1792,0,960,0,0,1727,666,265,350,150,0,481,71,5,1,1,9
646662,3,1,1,0,1,0,14089,2275,645,4191,308,130,42,210,0,0,503,120,120,0,465,1105,55,16,12,0,38,0,35,3,2,4,3
646672,1,0,1,0,0,0,7291,1173,66,2087,286,0,47,42,0,0,119,70,0,0,0,291,426,0,386,302,0,0,60,3,1,2,8
